"GEOID","B01001_001","B25001_001","B26001_001","housingvalue","mortgage","mortgagecost","mortgagetax","mortgageval","rentgross","occupyown","occupy","units","unitsownpop","vehicle","fuelheat","kitchen","plumbing","rooms","multigeneration","unitsperperson","ownervsrenter","pcthouseholdswithmorethanoneperroom","housing_score","housing_rnk","financial_score","ownership_score","building_quality_score","crowding_score","housing_state_rnk","NAME"
"13123",28673,16629,279,139600,56.5450643776824,83.03767597038,792,53.5594407438978,688,76.3586709148839,66.0592940044501,38.3113033167091,74.6249207579066,1.96294947655894,92.4897587619481,96.9330687353419,97.7749714354441,5.2,3.73236231224397,0.579953266138876,18476.725631769,2.49431042330451,96.42,45.2442159383033,101.5,109.56,97.63,103.74,38.4615384615385,"Gilmer County, Georgia"
"13125",3087,1506,95,66300,39.9276236429433,65.7580283793876,693,35.7435245344807,473,73.9518287243532,74.4355909694555,36.3135730482669,75.8021390374332,2.06601248884924,95.3612845673506,90.3054448871182,93.2934926958831,5.6,3.30062444246209,0.487852283770651,2140.62096774194,2.76538804638715,75.79,9.60796915167095,74.49,108.48,81.16,100.05,5.12820512820513,"Glascock County, Georgia"
"13127",81743,41471,1313,159200,60.0943731290273,83.9514345863069,1149,61.097318449924,828,60.9978026059237,77.9122760483229,39.5275436428807,61.0642794976999,1.71956918696419,98.6939432391446,97.6537821610282,98.7123532106773,5.5,5.14375909133113,0.507333961317789,52049.9959839357,2.1602550215097,112.41,75.8033419023136,110.52,75.11,111.32,106.23,69.8717948717949,"Glynn County, Georgia"
"13129",55889,22220,624,113000,58.0791490692945,80.8022081816431,955,59.0153309623508,654,65.4383540611086,87.9342934293429,34.9603678720321,63.2389396543925,1.91754951635191,97.8043912175649,95.5535553555356,97.7452745274527,5.5,4.89789651466298,0.397573762278803,26719.511627907,2.34914785812989,107.45,66.9344473007712,101.47,83.5,110.18,108.67,65.3846153846154,"Gordon County, Georgia"
"13131",25243,10717,188,115100,47.7611940298507,72.6978467889478,1018,47.0557788085039,727,57.8209277238403,86.498087151255,36.72305193519,53.330672520455,1.8428263214671,97.1521035598706,96.2209573574694,97.1820472147056,5.5,2.6537216828479,0.424553341520422,11394.4782608696,2.76159654800432,102.51,57.6478149100257,92.36,63.64,109.3,100.12,55.1282051282051,"Grady County, Georgia"
"13133",16331,8938,210,169300,51.3278008298755,76.897917329656,1269,62.9302704757836,636,71.8652154465484,75.0391586484672,41.069132325026,69.5676446870542,1.83375577754585,96.227821678843,96.0841351532781,97.1693891250839,6.2,5.06933055017146,0.547302675892474,13410.1269230769,1.78917548829581,101.4,55.5269922879177,102.11,98.64,101.9,94.17,51.9230769230769,"Greene County, Georgia"
"13135",859234,296368,5002,167700,79.3586281616244,92.67094942214,2153,79.2046402647873,1043,66.3568318753946,92.4583625762565,31.8908469636909,66.691484280617,1.93115025710084,99.5766686008532,98.290638665443,98.7812449387248,6.5,4.76576270815314,0.34492117397589,454059.588996764,2.89252126692869,140.62,96.9794344473008,134.7,77.26,121.63,98.6,100,"Gwinnett County, Georgia"
"13137",43527,18124,2863,131500,55.7961897915169,80.1747781381331,1041,61.9850046538984,687,74.8654467168999,82.0128007062459,34.1489190617318,73.9302577218178,1.98863024757804,93.8643702906351,96.7060251600088,96.5404987861399,5.4,4.17787944025834,0.416385232154755,24287.5704225352,4.14424111948332,103.83,60.2506426735219,103.23,106.86,104.63,114.08,57.0512820512821,"Habersham County, Georgia"
"13139",187916,69302,2222,159700,66.0713423758266,87.0324837162544,1392,66.2285346852291,858,66.8376564718028,89.4519638682866,32.989207943975,65.9288937714735,1.98754678022971,98.6320815589108,96.7591122911316,98.4358315777322,5.9,5.11517615176152,0.368792439174951,94941.8668831169,5.31842818428184,120.94,85.8290488431877,116.95,86.41,115.44,117.73,83.3333333333333,"Hall County, Georgia"
"13141",8881,5289,1873,66700,36.5864729913754,58.9671789528523,764,44.785033570021,630,78.259325044405,53.2236717716014,31.6968809818714,74.3150684931507,1.64476021314387,97.8685612788632,94.7438079031953,95.6891661939875,5.4,4.22735346358792,0.595541042675374,4655.56462585034,0.63943161634103,77.43,11.1503856041131,77.05,111.83,84.6,94.95,6.41025641025641,"Hancock County, Georgia"
"13143",28565,12254,380,103500,56.9122899854478,80.3993419084654,1078,61.4477575455314,670,70.4276530327029,87.5877264566672,37.5739541396814,71.5061202767429,2.06111991055623,94.7917637193702,95.4219030520646,95.7564876774931,5.7,5.81384515047051,0.428986521967443,19401.4505928854,1.90999720488214,103.39,59.4794344473008,101.96,98.98,104.07,107.35,56.4102564102564,"Haralson County, Georgia"
